0	5	12	15	8	0	13	4
0	13	7	1	12	15	4	2
0	9	9	9	9	9	9	9
0	4	1	13	11	2	10	15
0	2	12	6	1	4	9	7
0	10	1	4	13	5	2	9
0	14	14	14	14	14	14	14
0	9	6	2	0	7	15	4
0	12	12	12	12	12	12	12
0	0	10	4	15	2	7	5
0	8	15	2	11	3	0	7
0	7	4	0	14	5	13	2
0	7	7	7	7	7	7	7
0	2	15	11	9	0	8	13
0	11	5	15	10	13	2	0
0	3	10	13	6	14	11	2
0	11	11	11	11	11	11	11
0	15	9	3	14	1	6	4
0	7	14	1	10	2	15	6
0	6	3	15	13	4	12	1
1	4	4	4	4	4	4	4
0	15	12	8	6	13	5	10
0	8	2	12	7	10	15	13
0	0	7	10	3	11	8	15
1	2	2	2	2	2	2	2
0	14	5	8	1	9	6	13
0	13	10	6	4	11	3	8
0	6	0	10	5	8	13	11
1	7	1	11	6	9	14	12
0	3	3	3	3	3	3	3
0	14	11	7	5	12	4	9
0	15	6	9	2	10	7	14
1	11	8	4	2	9	1	6
1	4	14	8	3	6	11	9
1	12	3	6	15	7	4	11
1	0	0	0	0	0	0	0
1	11	2	5	14	6	3	10
1	3	13	7	2	5	10	8
1	10	7	3	1	8	0	5
1	15	15	15	15	15	15	15
1	1	1	1	1	1	1	1
1	12	9	5	3	10	2	7
1	5	15	9	4	7	12	10
1	13	4	7	0	8	5	12
1	0	13	9	7	14	6	11
1	5	5	5	5	5	5	5
1	9	3	13	8	11	0	14
1	1	8	11	4	12	9	0
1	10	4	14	9	12	1	15
1	2	9	12	5	13	10	1
1	1	14	10	8	15	7	12
1	6	6	6	6	6	6	6
1	6	13	0	9	1	14	5
1	14	8	2	13	0	5	3
1	10	10	10	10	10	10	10
1	5	2	14	12	3	11	0
1	3	0	12	10	1	9	14
1	8	8	8	8	8	8	8
1	12	6	0	11	14	3	1
1	4	11	14	7	15	12	3
1	13	13	13	13	13	13	13
1	1	11	5	0	3	8	6
1	8	5	1	15	6	14	3
1	9	0	3	12	4	1	8
