0	5	2	6	7	12	0	10
0	4	4	4	4	4	4	4
0	10	1	12	9	0	7	6
0	9	10	2	6	5	11	7
0	11	12	4	8	7	0	9
0	7	4	8	9	1	2	12
0	6	6	6	6	6	6	6
0	12	3	1	11	2	9	8
0	7	7	7	7	7	7	7
0	12	0	5	9	8	1	10
0	8	5	9	10	2	3	0
0	0	4	2	12	3	10	9
1	8	9	1	5	4	10	6
1	9	0	11	8	12	6	5
0	4	1	5	6	11	12	9
0	3	3	3	3	3	3	3
1	12	12	12	12	12	12	12
1	4	5	10	1	0	6	2
0	5	9	7	4	8	2	1
0	0	10	1	2	7	8	5
1	1	2	7	11	10	3	12
1	9	9	9	9	9	9	9
0	2	6	4	1	5	12	11
0	10	7	11	12	4	5	2
1	8	8	8	8	8	8	8
1	9	6	10	11	3	4	1
1	1	5	3	0	4	11	10
1	0	1	6	10	9	2	11
1	2	3	8	12	11	4	0
1	11	8	12	0	5	6	3
1	10	10	10	10	10	10	10
1	3	7	5	2	6	0	12
1	8	12	10	7	11	5	4
1	3	0	4	5	10	11	8
1	7	8	0	4	3	9	5
1	2	2	2	2	2	2	2
1	5	6	11	2	1	7	3
1	0	0	0	0	0	0	0
1	6	10	8	5	9	3	2
1	1	11	2	3	8	9	6
1	6	3	7	8	0	1	11
1	5	5	5	5	5	5	5
1	11	2	0	10	1	8	7
1	10	11	3	7	6	12	8
1	12	9	0	1	6	7	4
1	4	8	6	3	7	1	0
1	3	4	9	0	12	5	1
1	11	11	11	11	11	11	11
1	1	1	1	1	1	1	1
1	6	7	12	3	2	8	4
1	7	11	9	6	10	4	3
1	2	12	3	4	9	10	7
